iter	RMSE
0	11378.75953
1	10718.07994
2	10067.2656
3	9515.273502
4	9025.385861
5	8570.778287
6	8116.214421
7	7719.191189
8	7387.503935
9	7061.73097
10	6766.289501
11	6509.964657
12	6281.637947
13	6066.34188
14	5888.604712
15	5711.571185
16	5555.098696
17	5415.240587
18	5292.970119
19	5182.997461
20	5101.465332
21	5022.664288
22	4937.445012
23	4873.51848
24	4814.575684
25	4754.466941
26	4702.452457
27	4664.992777
28	4626.517711
29	4602.212175
30	4567.053077
31	4534.242646
32	4507.078892
33	4482.517927
34	4461.066441
35	4441.273451
36	4427.573363
37	4409.748985
38	4392.788354
39	4374.518335
40	4360.821231
41	4344.463814
42	4331.562513
43	4323.609774
44	4314.228982
45	4306.411812
46	4296.795568
47	4290.05804
48	4285.546673
49	4277.457473
50	4270.275672
51	4263.368485
52	4255.425294
53	4250.726044
54	4244.338289
55	4239.492464
56	4235.854864
57	4231.960478
58	4227.62092
59	4221.919717
60	4216.776133
61	4214.000991
62	4209.381257
63	4205.228189
64	4198.783328
65	4193.785661
66	4190.910668
67	4187.887154
68	4181.332343
69	4177.348277
70	4171.013622
71	4168.083299
72	4157.770768
73	4151.691406
74	4148.66045
75	4145.629191
76	4143.257164
77	4140.628201
78	4138.146776
79	4135.382354
80	4132.378371
81	4128.156951
82	4120.510124
83	4118.451404
84	4116.267067
85	4113.178577
86	4109.982104
87	4104.313348
88	4098.482259
89	4094.52235
90	4091.008408
91	4085.880267
92	4081.603401
93	4070.795245
94	4068.963405
95	4066.446057
96	4064.844645
97	4063.718591
98	4059.6089
99	4058.336585
