iter	Passed	Remaining
0	0	43
1	0	42
2	1	37
3	1	35
4	1	33
5	2	33
6	2	32
7	2	33
8	3	31
9	3	31
10	3	30
11	4	29
12	4	29
13	4	29
14	5	28
15	5	28
16	5	28
17	6	28
18	6	27
19	6	27
20	7	26
21	7	26
22	7	25
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	23
29	9	23
30	10	22
31	10	22
32	11	22
33	11	22
34	11	21
35	12	21
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	18
46	15	17
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
